Accession Number,Last Name ,First Name,Artist Gender,Title,Year,Location Name,Latitude,Longitude,Address,Location Description,Interior-Exterior ,Category,Object Type,Material,Material Details,Size,Additional Description,About The Work
CAC02.01q,Harries/Heder ,Mags/Lajos,1 Female/1 Male ,"""Drawn Water""",2002,Graham and Parks School,42.383048,-71.124029,"44 Linnaean St, Cambridge, MA 02138",In concrete sidewalk next to crosswalk in front of school's main entrance.,Exterior,Sculpture ,Bronze,Bronze,Bronze,"8"" diameter",,"Drawn Water combines real drinking water, symbolic elements, and a 2500 sq. foot map that focuses attention on the importance of water in our lives. The underground pipes that bring the water throughout the city are marked on the map, along with water fountains, swimming pools, and ponds. Actual water pipes form functional seats and suggest the sizes of pipes in the map. A transparent water column is placed on the map at the site of the city's holding reservoir, Payson Park. The art continues outside the building. A shallow depression on both sides of a path reveals a 42 inch pipe, reminding us of the connection between the treatment facility and Fresh Pond, the city's reservoir. A circular opening in the fence around the pond focuses views of the water intake. A drinking fountain in the form of a squirting arc offers water to users of the path. When they drink from the fountain, the water column reacts with light, bubbles and changes in the water level, as if the water had been drawn through the large pipe back from the treatment facility. There are also thirteen bronze utility covers located throughout the city, each with a different water-related image. The locations of the covers are marked on the floor map to encourage a treasure hunt in the neighborhoods.Mags Harries and Lajos H_der have collaborated on several projects since 1990, ranging from large-scale commissions to temporary installations and performances."
CAC02.01r,Harries/Heder ,Mags/Lajos,1 Female/1 Male ,"""Drawn Water""",2002,Tobin Montessori Elementary School,42.384316,-71.139715,"197 Vassal Ln Cambridge, MA 02138",On corner of Vassal and Standish at intersection. In concrete sidewalk.,Exterior,Sculpture ,Bronze,Bronze,Bronze,"8"" diameter",,"Drawn Water combines real drinking water, symbolic elements, and a 2500 sq. foot map that focuses attention on the importance of water in our lives. The underground pipes that bring the water throughout the city are marked on the map, along with water fountains, swimming pools, and ponds. Actual water pipes form functional seats and suggest the sizes of pipes in the map. A transparent water column is placed on the map at the site of the city's holding reservoir, Payson Park. The art continues outside the building. A shallow depression on both sides of a path reveals a 42 inch pipe, reminding us of the connection between the treatment facility and Fresh Pond, the city's reservoir. A circular opening in the fence around the pond focuses views of the water intake. A drinking fountain in the form of a squirting arc offers water to users of the path. When they drink from the fountain, the water column reacts with light, bubbles and changes in the water level, as if the water had been drawn through the large pipe back from the treatment facility. There are also thirteen bronze utility covers located throughout the city, each with a different water-related image. The locations of the covers are marked on the floor map to encourage a treasure hunt in the neighborhoods.Mags Harries and Lajos H_der have collaborated on several projects since 1990, ranging from large-scale commissions to temporary installations and performances."
CAC95.03,Houck,Lisa,Female,"""This is Where We Saw the Eclipse""",1995,Cambridge Senior Center ,42.366716,-71.106235,"806 Massachusetts Ave, Cambridge, MA 02139",Dining Room ,Interior ,Mural ,Painting ,Oil enamel on plywood ,Oil enamel on plywood,"H 27"" L 81"" x D _""",,A landscape of Fall colors 
CAC95.01a,Houck,Lisa,Female,"""One Seasonal Cycle in a Temperate Zone""",1995,Cambridge Senior Center ,42.366716,-71.106235,"806 Massachusetts Ave, Cambridge, MA 02139",Vestibule ,Interior ,Mural ,Painting ,Oil enamel on plywood ,Oil enamel on plywood,1 of 4 panels: each 3 1/2',,"A Playful and vibrant depiction of a field in summer, winter, fall, and spring"
CAC95.02,Houck,Lisa,Female,"""They Settled Near a Marsh""",1995,Cambridge Senior Center ,42.366716,-71.106235,"806 Massachusetts Ave, Cambridge, MA 02139",Dining Room ,Interior ,Mural,Painting ,Oil enamel on plywood ,Oil enamel on plywood,"2' 3"" X 6' 9""",,Portrait of colonial Cambridge 
CAC95.04,Houck,Lisa,Female,"""Scientific Observations of the Square""",1995,Cambridge Senior Center,42.366716,-71.106235,"806 Massachusetts Ave, Cambridge, MA 02139",First floor corridor,Interior ,Sculpture,Tiles-Terra Cotta ,Terra cotta tiles ,Carved and painted terra cotta tiles ,7' x 10' ,,The 68 terra cotta tiles depict organic colors and shapes and together visually create a handmade quilt-like backdrop for a bench in the first-floor hallway. -
CAC87.07,Houck,Lisa,Female,"""The Bluefish is good tonight""",1987,Inman Square,42.37367,-71.100681,"1384 Cambridge St Cambridge, MA 02139",,Interior ,Mural,Painting-Acrylic on Aluminum Panels,Enamel paint on aluminum,Enamel on aluminum,"10'4"" x 9'10""; 4' x 5'",,
CAC01.02a,Hsu,Lillian,Female ,"""Sitting Coves""",2001,Gately Youth Center,42.391846,-71.127922,"70 Rindge Ave, Cambridge, MA 02140",Behind the Fitzgerald School,Interior ,Sculpture ,Mixed media,"Wood, paint, glass block","Maple wood, etched glass blocks, paint",7' x 20' x 3'; 5' x 16' x3',2 seating areas in hallways,"The Gately Shelter provides a range of offerings for the entire North Cambridge community, but primarily serves children and teens ages eight to eighteen. When Hsu received this commission, she reflected that ""kids like to hang out in hallways, stairwells, corners - places without a designated function."" In response, she designed two seating alcoves where young people can ""come and go; be part of traffic; observe and be observed."" She wanted the design to be bright, welcoming, and clearly for kids. She chose the structure's maple wood for its warm golden tones. The glass tiles reflect and ""move"" light, while the etched ""squiggle"" designs on their surface suggest ""narrative, pathways, and the human body."" The rainbow spectrum is actually acrylic paint on MDO board behind the glass. Hsu dabbed on many layers of contrasting hues to achieve the rich, saturated colors.An installation artist and sculptor, Hsu-Flanders studied at Wellesley College, Harvard University, and the School of the Museum of Fine Arts. She has exhibited extensively around the U.S. Her work is in the permanent collections of the Museum of Fine Arts in Boston and the Rose Art Museum at Brandeis University as well as in private collections. She is a resident of Cambridge, MA."
CAC80.07b,Kepes,Juliet,Female,"""Diving Bird""",1980,Clarendon Avenue Park,42.399865,-71.13218,"Clarendon Avenue Park Cambridge, MA 02140",Intersection of Massachusettes Avenue and Clarendon Avenue,Exterior ,Sculpture ,Bronze ,Bronze ,Bronze reliefs (6),"ranging from 16"" x 14"" to 24"" x 21""",6 bronze birds in relief,"The five bronze-birds, frozen in various stages of flight on a low brick wall next to the playground, are the creation of an acclaimed illustrator of children's books, Juliet Kepes.With a great affinity for animals, Kepes wrote 17 children's books with calligraphic drawings of birds, frogs and other creatures, three of which were designated in the top ten children's books of the year by the New York Times. Her Five Little Monkeys was selected as Caldicott Medal Honor Book and the Society of Illustrators awarded her a citation of merit for Frogs Merry in 1962.Juliet Kepes (1919-1979) resided in Cambridge for 53 years. She worked as a painter, sculptor, and graphic artist and collaborated with her husband, Gyorgy Kepes, on enamel murals for the Morse School and other public buildings."
CAC83.05,Hurley,Arnold,Male ,"""Project Adventure""",1983,Fletcher-Maynard Elementary Academy,42.366907,-71.095867,"225 Windsor St, Cambridge, MA 02139",Second floor hallway,Interior ,Mural,Paintings ,Acrylic on masonite ,Acrylic on masonite,two panels: each 4' x 8',,"The mission of the Project Adventure program was to build self-confidence and trust in young students through a series of physical challenges. As shown in Hurley's two paintings, the children must rely on their peers for help and support as they undertake such activites as scaling a wall, climbing a rope, and balancing on wooden beams."
CAC84.04,Inglese,Judith,Female ,"""I'd Hammer Out Love""",1984,The Amigos School,42.363067,-71.108137,"15 Upton St, Cambridge, MA 02139",Front entrance,Exterior ,Sculpture,Tiles-Ceramic,Ceramic ,Ceramic,"4'6"" x 22' x 1/2""",Outdoor mural near entrance,"As its title reveals, Judith Inglese's ceramic tile mural takes the Civil Rights-era folk song ""If I Had a Hammer"" as its inspiration. Just as the song celebrates ""the love between my sisters and my brothers, all over this land"" the artwork presents scenes of cross-cultural understanding. Children and adults from different backgrounds fly kites, make music, shoot basketball, admire butterflies and birds, climb and play on the structure, and share stories. Inglese's signature style borrows from the tradition of stained glass: irregular clay shapes form images, which, in turn, are outlined by grout, much like the way lead surrounds stained glass.A Massachusetts resident, Inglese studied at Sarah Lawrence College, at the Accademia di Belle Arti in Rome, and at the School of the Museum of Fine Arts, Boston. She has received several grants for community based art workshops in Massachusetts and Puerto Rico. Her other public works include a 40 foot ceramic mural at the National Zoo in Washington, D.C. and pieces for numerous schools, recreational facilities, hospitals, transportation centers, libraries, and elderly housing."
CAC83.04,Inglese,Judith,Female ,"""Play is Child's Work""",1983,Fletcher-Maynard Elementary Academy,42.366907,-71.095867,"225 Windsor St, Cambridge, MA 02139",Second floor hallway,Interior ,Sculpture,Tiles-Ceramic,Ceramic ,Ceramic,"7'2"" x 10'11""",,"In Judith Inglese's ceramic mural, rendered in the artist's signature stained glass-like style, children from a range of racial and cultural backgrounds play in small groups or alone. They kick soccer balls, shoot basketballs, collect starfish, cuddle a cat, create chalk drawings on the street, or simply interact with one another. The tree that stretches across the scene hints at the work's simple yet powerful main message: children ""branch out"" when they play. They learn about their environment, themselves, and others. They grow and develop. In the words of the title, ""play is children's work."""
CAC05.03,Jonas ,"Paul, Ramirez",Male ,"""Taylor Square""",2005,Taylor Square,42.384212,-71.129807,"113 Garden St, Cambridge, MA 02138","At the intersection of Huron Avenue, Sherman Street, and Garden Street",Exterior ,Sculpture ,Mixed media installation,"Painted Metal, Stone",,57 square feet ,,"Taylor Square was created by Paul Ramirez Jonas and installed in front of the renovated Engine 8, Ladder 4 fire station in northwest Cambridge, at the intersection of Huron Avenue, Sherman Street, and Garden Street. Taylor Square is the smallest public park in Cambridge, measuring only 57 square feet, and has locked gates. It is a communal space through the distribution of 5,000 artist-designed keys and the invitation to the public to duplicate them endlessly.Further distribution of the keys and, thus, the sustained life of the park is the task of the public. In the artist's words, ""Taylor Square belongs to the public. It is closed, yet simultaneously open, re-emphasizing that the ownership of public space resides in the public itself."" The keys for Open are a tangible symbol of this relationship between public space and the public."
CAC79.09a,Judelson,David,Male ,"""Untitled""",1979,Cambridge Public Library - Central Square Branch,42.363893,-71.103682,"45 Pearl St, Cambridge, MA 02139","Check out desk, Pearl Street, and Courtyard entrances ",Exterior ,Sculpture ,Tiles-Ceramic in Floor,Ceramic ,Ceramic,"41""H x 40.5""W",,"Three clusters of ceramic tiles are embedded in the brick paving at the check out desk and at both the Pearl Street and courtyard entrances of the library. On an August day in 1979, David Judelson recorded the library transactions by embossing the tiles in front of the check out desk with impressions of books, library cards, date stamps, names of kids and librarians, footprints and a projector reel.The tiles at the courtyard entrance are impressions made from the library sign above the door. At the Pearl Street entrance, the tiles play on a visual pun. They depict four square objects which can be seen from the library, including a set of pay-phone buttons. On the inside square is the impression of a branch, which makes it the Central Square Branch.David Judelson originally pursued architecture as an undergraduate and graduate student at M.I.T, but became increasingly interested in ceramics. He studied at the Haystack Mountain School of Crafts in the 1970s, and has pursued art ever since. His many large-scale public commissions include a sculptural rooftop terrace for Scholastic, Inc., in New York. He also has exhibited his work in numerous group and solo exhibitions. He spent many years living in the Boston area before moving to New York City."
CAC96.01c,O'Neil,Nancy,Female,"""Untitled""",1996,Maria L. Baldwin Elementary School,42.382328,-71.116683,"28 Sacramento St, Cambridge, MA 02138","Level 1-2 left, Maria Baldwin portrait and elm tree leaves. at Sacramento and Oxford Sts.",Interior ?,Sculpture ,Stained glass ,Stained glass ,"Stained glass, hand-painted",,,
CAC83.01a,Judelson,David,Male ,"""Brickworker and Ballplayer""",1983,Rindge Field,42.391108,-71.127956,"Rindge Field, Cambridge, MA 02140","Rindge Field at Pemberton Street or Intersection of Pemberton and Haskell Streets",Exterior ,Sculpture ,Masonary ,Handmade brick ,Brick (handmade) ,6' x 11' x 5',Brick sculpture,"Two monumental figures face off behind homeplate at Rindge Field. Together, they embody North Cambridge's past and present. The ballplayer represents the site's modern-day use as a recreation area. The worker and bricks used to make the piece (fired by Judelson himself) reflect Rindge Field's previous incarnation as one of the many North Cambridge brickyards that were in active production from 1844 -1952. Names of brick companies and the families of Italian, Irish, and Canadian immigrants who worked in the 'yards are inscribed in the bricks, along with an overview that celebrates the transformation of North Cambridge ""from swampy marshland into vibrant neighborhood.""David Judelson originally pursued architecture as an undergraduate and graduate student at M.I.T., but became increasingly interested in ceramics. He studied at the Haystack Mountain School of Crafts in the 1970s, and has pursued art ever since. His many large-scale public commissions include a sculptural rooftop terrace for Scholastic, Inc., in New York. He also has exhibited his work in numerous group and solo exhibitions. He spent many years living in the Boston area before moving to New York City."
CAC87.02,Judelson,David,Male ,"""Flag Fragments""",1987,East Cambridge Parking Facility,42.368904,-71.078757,"9 Spring St, Cambridge, MA 02141",,Exterior ,Sculpture,Tiles-Ceramic,Clay,"Clay, stains, oxieds","171 tiles; each 8"" x 8""",,
CAC06.01a,Katayama,Toshihiro,Male ,"""Porter Square Landscape Design""",2006,Porter Square Plaza,42.389486,-71.119945,"1931 Massachusetts Ave Cambridge, MA 02140",In front of the Porter Square Shopping Center shopping and directy across from the Porter Square T station,Exterior ,Sculpture ,Metal-Painted Steel,Tnemec painted steel,"Concrete, natural granite boulders, Tnemec painted steel, plantings","W 258ê x D 94ê overallPortrait wall (in front of Healthworks):H 5ê 11 1/8"" x W 3ê 11"" x D _""",Full plaza design between Mass Ave. and shopping Ctr.,"The Porter Square Design Project improves the safety and function of Porter Square, with an emphasis on use by pedestrians, bicyclists, and transit users. Beginning with meetings of the Porter Square Citizen Advisory Committee in 1997, the city worked with the Porter Square Neighborhood Association, residents of Cambridge and Somerville, and the Porter Square businesses to develop a plan for the reconfiguration of Porter Square and its roadway design.In accordance with the city's Public Art Ordinance, the Cambridge Arts Council commissioned artist Toshihiro Katayama to develop public art for the new plaza as the centerpiece of Porter Square. Katayama worked with landscape architect Cynthia Smith, members of the Porter Square Citizen Advisory Committee, and city staff to develop a bold design for the plaza. The goals of his design were to create a visual identity for the Square, integrate both sides of Massachusetts Avenue, unify the three parts of the plaza visually, and reduce the visual clutter of the busy intersection through simplification and clarity. Natural materials include stonewalls, Cape Ann granite boulders, and new trees and shrubs. Concrete pavers in light and dark grey create a pattern that addresses the entire width of the plaza in one visual sweep. A low steel wall and two free-standing panels continue this pattern with black and white graphics.Toshihiro Katayama is Professor emeritus at Harvard University, where he taught for 30 years and served as the Director of the Carpenter Center for the Visual Arts. His work has been exhibited in more than 30 one-man exhibitions and he has created large-scale sculptures, murals, and environmental work in architectural spaces in the United States and Japan, including major work for the Ohara Art Museum in Kurashiki and the Panasonic Headquarters in Tokyo. In 1974, he collaborated with the poet Octavio Paz on a visual poetry book, Three Notations-Rotations, which was published jointly by Harvard University and the Museum of Modern Art in New York."
CAC06.01b,Katayama,Toshihiro,Male ,"""Porter Square Landscape Design""",2006,Porter Square Plaza,42.389486,-71.119945,"1931 Massachusetts Ave Cambridge, MA 02140",In front of the Porter Square Shopping Center shopping and directy across from the Porter Square T station,Exterior ,Sculpture ,Metal-Painted Steel,Tnemec painted steel,"Concrete, natural granite boulders, Tnemec painted steel, plantings","W 258ê x D 94ê overallLandscape wall (closest towards Dunkin):H 47 _"" x W 7ê 10 _"" x D _""",Full plaza design between Mass Ave. and shopping Ctr.,"The Porter Square Design Project improves the safety and function of Porter Square, with an emphasis on use by pedestrians, bicyclists, and transit users. Beginning with meetings of the Porter Square Citizen Advisory Committee in 1997, the city worked with the Porter Square Neighborhood Association, residents of Cambridge and Somerville, and the Porter Square businesses to develop a plan for the reconfiguration of Porter Square and its roadway design.In accordance with the city's Public Art Ordinance, the Cambridge Arts Council commissioned artist Toshihiro Katayama to develop public art for the new plaza as the centerpiece of Porter Square. Katayama worked with landscape architect Cynthia Smith, members of the Porter Square Citizen Advisory Committee, and city staff to develop a bold design for the plaza. The goals of his design were to create a visual identity for the Square, integrate both sides of Massachusetts Avenue, unify the three parts of the plaza visually, and reduce the visual clutter of the busy intersection through simplification and clarity. Natural materials include stonewalls, Cape Ann granite boulders, and new trees and shrubs. Concrete pavers in light and dark grey create a pattern that addresses the entire width of the plaza in one visual sweep. A low steel wall and two free-standing panels continue this pattern with black and white graphics.Toshihiro Katayama is Professor emeritus at Harvard University, where he taught for 30 years and served as the Director of the Carpenter Center for the Visual Arts. His work has been exhibited in more than 30 one-man exhibitions and he has created large-scale sculptures, murals, and environmental work in architectural spaces in the United States and Japan, including major work for the Ohara Art Museum in Kurashiki and the Panasonic Headquarters in Tokyo. In 1974, he collaborated with the poet Octavio Paz on a visual poetry book, Three Notations-Rotations, which was published jointly by Harvard University and the Museum of Modern Art in New York."
CAC80.07c,Kepes,Juliet,Female,"""Untitled""",1980,Clarendon Avenue Park,42.399865,-71.13218,"Clarendon Avenue Park Cambridge, MA 02140",Intersection of Massachusettes Avenue and Clarendon Avenue,Exterior ,Sculpture ,Bronze ,Bronze ,Bronze reliefs (6),"ranging from 16"" x 14"" to 24"" x 21""",6 bronze birds in relief,"The five bronze-birds, frozen in various stages of flight on a low brick wall next to the playground, are the creation of an acclaimed illustrator of children's books, Juliet Kepes.With a great affinity for animals, Kepes wrote 17 children's books with calligraphic drawings of birds, frogs and other creatures, three of which were designated in the top ten children's books of the year by the New York Times. Her Five Little Monkeys was selected as Caldicott Medal Honor Book and the Society of Illustrators awarded her a citation of merit for Frogs Merry in 1962.Juliet Kepes (1919-1979) resided in Cambridge for 53 years. She worked as a painter, sculptor, and graphic artist and collaborated with her husband, Gyorgy Kepes, on enamel murals for the Morse School and other public buildings."
CAC99.02,Kepes,Gyorgy,Male,"""Geometric Pattern""",1957,Morse Elementary School,42.355691,-71.112167,"40 Granite St, Cambridge, MA 02139",,Interior ,Sculpture ,Tiles-Ceramic,Ceramic tile,"Mosaic, ceramic tile","68"" x 65""",Wall piece,"When the Morse School was built, architect Carl Koch commissioned well known Cambridge artists Juliet and Gyorgy Kepes to design bold art panels for the hallways of the school. The Kepeses experimented with color and design, scooping granular pigments from big buckets onto metal sheets, making patterns by pressing leaves into the colors, then shoving the test pieces into enormous ovens heated to 2000 degrees. After long hours of experimentation, the artists created the five bird and tree designs, which are on view in the primary wing of the school.Born in Hungary, Gyorgy began his career as a painter but turned to photography and filmmaking. He is perhaps best known as the founder of MIT's Center for Advanced Visual Studies. Juliet was born in England and worked as a painter, sculptor, and graphic artist, and is highly acclaimed for her beautifully illustrated children's books"
CAC99.04,Kepes,Gyorgy/Juliet,1 Female/1 Male ,"""Birds on Red""",1957,Morse Elementary School,42.355691,-71.112167,"40 Granite St, Cambridge, MA 02139",,Interior ,Sculpture ,Metal-Enameled Tiles,Enameled metal tile,Enameled metal,"94"" x 148""",Wall piece,"When the Morse School was built, architect Carl Koch commissioned well known Cambridge artists Juliet and Gyorgy Kepes to design bold art panels for the hallways of the school. The Kepeses experimented with color and design, scooping granular pigments from big buckets onto metal sheets, making patterns by pressing leaves into the colors, then shoving the test pieces into enormous ovens heated to 2000 degrees. After long hours of experimentation, the artists created the five bird and tree designs, which are on view in the primary wing of the school.Born in Hungary, Gyorgy began his career as a painter but turned to photography and filmmaking. He is perhaps best known as the founder of MIT's Center for Advanced Visual Studies. Juliet was born in England and worked as a painter, sculptor, and graphic artist, and is highly acclaimed for her beautifully illustrated children's books"
CAC96.01d,O'Neil,Nancy,Female,"""Untitled""",1996,Maria L. Baldwin Elementary School,42.382328,-71.116683,"28 Sacramento St, Cambridge, MA 02138",Level 1-2 on the right. Robin bird and road maps from 1700,Interior ?,Sculpture ,Stained glass ,Stained glass ,"Stained glass, hand-painted",,Maria L. Baldwin Elementary School,
CAC96.01e,O'Neil,Nancy,Female,"""Untitled""",1996,Maria L. Baldwin Elementary School,42.382328,-71.116683,"28 Sacramento St, Cambridge, MA 02138",Level 2-3 on the left. Night heron and animal tracks,Interior ?,Sculpture ,Stained glass ,Stained glass ,"Stained glass, hand-painted",,Maria L. Baldwin Elementary School,
CAC99.05,Kepes,Gyorgy/Juliet,1 Female/1 Male ,"""Owl on Blue Background""",1957,Morse Elementary School,42.355691,-71.112167,"40 Granite St, Cambridge, MA 02139",,Interior ,Sculpture ,Metal-Enameled Tiles,Enameled metal tile,Enameled metal,"94"" x 84""",Wall piece,"When the Morse School was built, architect Carl Koch commissioned well known Cambridge artists Juliet and Gyorgy Kepes to design bold art panels for the hallways of the school. The Kepeses experimented with color and design, scooping granular pigments from big buckets onto metal sheets, making patterns by pressing leaves into the colors, then shoving the test pieces into enormous ovens heated to 2000 degrees. After long hours of experimentation, the artists created the five bird and tree designs, which are on view in the primary wing of the school.Born in Hungary, Gyorgy began his career as a painter but turned to photography and filmmaking. He is perhaps best known as the founder of MIT's Center for Advanced Visual Studies. Juliet was born in England and worked as a painter, sculptor, and graphic artist, and is highly acclaimed for her beautifully illustrated children's books"
CAC96.01f,O'Neil,Nancy,Female,"""Untitled""",1996,Maria L. Baldwin Elementary School,42.382328,-71.116683,"28 Sacramento St, Cambridge, MA 02138",Level 2-3 on the right. Pangea globe and Moroccan tile patterns,Interior ?,Sculpture ,Stained glass ,Stained glass ,"Stained glass, hand-painted",,Maria L. Baldwin Elementary School,
CAC96.01g,O'Neil,Nancy,Female,"""Untitled""",1996,Maria L. Baldwin Elementary School,42.382328,-71.116683,"28 Sacramento St, Cambridge, MA 02138",Level 3-4 left. Double helix and yellow ribbon,Interior ?,Sculpture ,Stained glass ,Stained glass ,"Stained glass, hand-painted",,Maria L. Baldwin Elementary School,
CAC99.03,Kepes,Gyorgy/Juliet,1 Female/1 Male ,"""Rooster on Blue Background""",1957,Morse Elementary School,42.355691,-71.112167,"40 Granite St, Cambridge, MA 02139",,Interior ,Sculpture ,Metal-Enameled Tiles,Enameled metal tile,Enameled metal,,Wall piece,"When the Morse School was built, architect Carl Koch commissioned well known Cambridge artists Juliet and Gyorgy Kepes to design bold art panels for the hallways of the school. The Kepeses experimented with color and design, scooping granular pigments from big buckets onto metal sheets, making patterns by pressing leaves into the colors, then shoving the test pieces into enormous ovens heated to 2000 degrees. After long hours of experimentation, the artists created the five bird and tree designs, which are on view in the primary wing of the school.Born in Hungary, Gyorgy began his career as a painter but turned to photography and filmmaking. He is perhaps best known as the founder of MIT's Center for Advanced Visual Studies. Juliet was born in England and worked as a painter, sculptor, and graphic artist, and is highly acclaimed for her beautifully illustrated children's books"
CAC80.09,LaCasse,Bernard,Male ,"""Beat the Belt""",1980,727 Memorial Drive ,42.358089,-71.114637,"727 Memorial Dr, Cambridge, MA 02139",Back of MicroCenter,Exterior ,Mural ,Painting ,Acrylic on masonry ,Acrylic on masonry,13' x 75',,"The mural celebrates the triumph of people over machines by depicting the successful effort of neighborhood residents to block construction of the Inner Belt Highway (extension of I-95) through Cambridge in 1971. The city of Cambridge was the first to organize against the eight-lane highway project, which would have displaced the Brookline/Elm Street neighborhoods and split the city of Cambridge in half. Brookline, Boston, and Somerville soon joined in a coalition that defeated the project and ended all new highway construction in Metropolitan Boston."
CAC92.02,Levine,Edward,Male,"""Floating Stones""",1992,Roethlisberger Park,42.386537,-71.134703,"229 Garden St, Cambridge, MA 02138",off of Walden and Garden Street,Exterior ,Sculpture ,Stone and metal ,Granite and steel ,"Granite blocks (11?) (9), steel, Granite with elastomer inserts, plantings (River Birch, Pin Oaks, Red Twig Dogwood, Fragrant Sumac, Day Lilies), pavers, gravel.",each block: 3' x 3' x 3',,"Wanting to integrate his work into the new park, Levine worked extensively with the landscape architect, John Kissida, who provided him with expert advice on plantings, pavers, and the grading of the area. As a result, the artwork may not be readily noticeable to someone casually strolling through the park, or even to someone sitting on the granite blocks that the artist so carefully placed in the space. But then, that was the intention. Levine wanted to create art that people would experience and use as part of their daily life rather than marvel at from a distance.Edward Levine is an artist and professor in the Visual Arts Program at M.I.T. Before moving to Cambridge, Levine was dean of the School of Art at East Carolina University. In addition to his public art in Cambridge, he has done permanent work in Pusan, South Korea. Levine also served as chairman of the Visual Arts Policy Panel for the NEA and is the author of several articles an art criticism and theory."
CAC80.01,Lichtman,Linda,Female ,"""Untitled""",1980,Cambridge Public Library - Central Square Branch,42.363893,-71.103682,"45 Pearl St, Cambridge, MA 02139",First floor reading room ,Interior,Sculpture,Stained Glass,Glass ,"Glass (Leaded, Stained)",7' x 3',"Hanging panels, first floor","Of her rectangular stained glass window, rendered in earth tones and designed for the main reading room of the library, artist Linda Lichtman says, ""I wanted to make a window which would be both colorful and restful -- a window which would be enlivened and animated by the color, yet calmed by the graphic elements."
CAC90.02,Lichtman,Linda,Female ,"""Landscape Frieze in Glass""",1990,North Cambridge Senior Center,42.390941,-71.122793,"2050 Massachusetts Ave, Cambridge, MA 02140",,Interior,Sculpture ,Stained glass,Stained glass,"Etched, stained glass, painted and leaded","18""x20' front wall",Landscape Frieze,"These five panels of etched, stained and leaded glass run along the 20'-long glass window in the lobby of the Cambridge Senior Center. ""I work with glass so that it will reflect nature and be alive to light, constantly changing like all things in nature,"" Lichtman says. ""I tear away the surface of the glass with hydrofluoric acid or build up layers of paints, transparent enamels, and silver stain to increase richness and density."" From this hazardous process emerges the most delicate of designs. Lichtman explains that each specific piece of glass etches differently. The result is the abstract imagery in ""Landscape Frieze in Glass,"" which illumines the large window in the Cambridge Senior Center, as though the glass itself contained the light.Lichtman earned her BFA in painting from Massachusetts College of Art in 1974. She studied with a master glass artist Patrick Reyntiens at Burleighfiled House in England and apprenticed to other glass artists in the U.K., Canada and Germany before continuing studies at the Museum School in Boston. Lichtman has lived and worked in Cambridge since 1978."
CAC87.04.1,Lord,Madeleine,Female,"""Revolutionary Figures. Female Figure""",1987,Fort Washington Park,42.356745,-71.104617,"95 Waverly St, Cambridge, MA 02139","Waverly Street and Talbot Street, in park on grass.",Exterior ,Sculpture ,Metal-Painted Steel,Cut and painted steel ,Cut and painted steel,"Figure of a Woman: H 53"" x W 4ê x D 3/8""","Seated female figure, 1 part of 3 components.","Five life-size silhouette figures - four minutemen and a Victorian-era woman - stand guard at Fort Washington Park, the only remaining fort built by George Washington, during the siege of Boston in 1775. The four Colonial soldiers are scattered throughout the park, in stances of battle readiness, while the Victorian figure sits alone pondering the historical site.After the Battles of Lexington and Concord, the British retreated to Boston. George Washington encircled the city with fortifications, of which this is one. At that time, the fort overlooked the Charles River, and the cannons pointed towards Boston. The area was made into a park in 1857 when the land was donated to the City and the cast-iron fence surrounding the park was erected.The intent of the cut steel sculptures, says Lord, ""was to recreate the Fort's encampment setting and to recall the park's creation and heyday,"" celebrate both eras in tandem, and pay homage to the park's layered history."
CAC96.01h,O'Neil,Nancy,Female,"""Untitled""",1996,Maria L. Baldwin Elementary School,42.382328,-71.116683,"28 Sacramento St, Cambridge, MA 02138","Level 3-4 to the right. 4 keys, Astrolabe, and computers.",Interior ?,Sculpture ,Stained glass ,Stained glass ,"Stained glass, hand-painted",,Maria L. Baldwin Elementary School,
CAC87.04.3,Lord,Madeleine,Female,"""Revolutionary Figures. Male Figure""",1987,Fort Washington Park,42.356745,-71.104617,"95 Waverly St, Cambridge, MA 02139","Waverly Street and Talbot Street, behind park on old railroad tracks towards Vassar St.",Exterior ,Sculpture ,Metal-Painted Steel,Cut and painted steel ,Cut and painted steel,"Figure of Male Soldier: 73""H x 48""W x 24""D","Standing male figure, 1 part of 3 components.","Five life-size silhouette figures - four minutemen and a Victorian-era woman - stand guard at Fort Washington Park, the only remaining fort built by George Washington, during the siege of Boston in 1775. The four Colonial soldiers are scattered throughout the park, in stances of battle readiness, while the Victorian figure sits alone pondering the historical site.After the Battles of Lexington and Concord, the British retreated to Boston. George Washington encircled the city with fortifications, of which this is one. At that time, the fort overlooked the Charles River, and the cannons pointed towards Boston. The area was made into a park in 1857 when the land was donated to the City and the cast-iron fence surrounding the park was erected.The intent of the cut steel sculptures, says Lord, ""was to recreate the Fort's encampment setting and to recall the park's creation and heyday,"" celebrate both eras in tandem, and pay homage to the park's layered history."
CAC09.06,Louden,Sharon ,Female ,"""Plantings on the Charles""",2009,Riverside Press Park,42.361821,-71.115474,"820 Memorial Dr, Cambridge, MA 02139",Various Plantings throughout park,Exterior ,Sculpture,Mixed media,Steel Wire and Reflectors,,"12 clusters, aprox 24"" x 14"" x 14""",,
